Course Number,Course Title,Description,Terms Offered,Equivalent Courses,Prerequisites,Instructors
ANTH 27724,Diasporism in Modern Judaism. 100 Units.,"This course will consider the fate of arguments for Diasporic Jewish Identity and thought in the 20th and 21st centuries in philosophical and literary sources and will consider the relationship between debates within Jewish thought and correlates in Black Studies and Post-colonial Studies. Thinkers to be read include Hermann Cohen, Franz Rosenzweig, Emmanuel Levinas, Jacob Gordon, Jacques Derrida, Sarah Kofman, Susan Taubes, Philip Roth, Fred Moten, Christina Sharpe and others.",,"RLST 27724, DVPR 47724, JWSC 27724, ANTH 37724, HIJD 47724, RLVC 47724",,
ANTH 27910,Virtual Ethnography: Encounters in Mediation. 100 Units.,"From everyday social media platforms like Facebook, TikTok, Instagram, and WeChat, to more complex real-time immersive social and gaming sites, virtual realms are propagating at a fantastic rate while transforming what it means to live and interact in the physical world. As such virtual world, communities, and spaces increasingly command our attention, time, and money, scholars from various fields have begun to tackle questions concerning the ethics, logics, patterns, and social specificity of the virtual through experimental forms of virtual ethnography. This advanced undergraduate course introduces students to some these recent ethnographies and corresponding theoretical interventions into the nature of collective techno-life within virtual realms. Students will build on this material in order to develop an ethnographic inquiry into a virtual world of their choosing. In so doing, they will work individually and as a class through the processes of pre-field planning, fieldwork, and post-field analysis and writing.",Winter,"CDIN 27910, EALC 27910, CMST 27910, MADD 12910",Consent of instructor required; email Professors Fisch and Lamarre a paragraph long description about what you bring and what you hope to get out of this seminar.,Thomas Lamarre and Michael Fisch
ANTH 28110,Human Origins: Milestones in Human Evolution and the Fossil Record. 100 Units.,"This course aims at exploring the fundamentals of human origins by tracking the major events during the course of human evolution. Starting with a laboratory based general introduction to human osteology and muscle function, the latest on morphological and behavioral evidence for what makes Homo sapiens and their fossil ancestors unique among primates will be presented. Our knowledge of the last common ancestor will be explored using the late Miocene fossil record followed by a series of lectures on comparative and functional morphology, adaptation and biogeography of fossil human species. With focus on the human fossil record, the emergence of bipedalism, advent of stone tool use and making, abandonment of arboreality, advent of endurance walking and running, dawn of encephalization and associated novel life histories, language and symbolism will be explored. While taxonomic identities and phylogenetic relationships will be briefly presented, the focus will be on investigating major adaptive transitions and how that understanding helps us to unravel the ecological selective factors that ultimately led to the emergence of our species. The course will be supported by fresh data coming from active field research conducted by Prof. Alemseged and state of the art visualization methods that help explore internal structures. By tracing the path followed by our ancestors over time, this course is directly relevant to reconnoitering the human condition today and our place in nature.",Autumn. Will be offered Autumn 2025. Offered every other year.,"BIOS 22265, ORGB 33265","Three quarters of a Biological Sciences Fundamentals Sequence, or consent of Instructor.",Z. Alemseged. L.
ANTH 28400,Bioarchaeology and Forensic Anthropology: Approaches to the Past. 100 Units.,"This course is intended to provide students with a thorough understanding of bioanthropological, osteological and forensic methods used in the interpretation of past and present behavior by introducing osteological methods and anthropological theory. In particular, lab instruction stresses hands-on experience in analyzing human remains, whereas seminar classes integrate bioanthropological theory and its application to specific archaeological and forensic cases throughout the world. At the end of this course, students will be able to identify, document, and interpret human remains from archaeological and forensic contexts. Lab and seminar-format classes each meet weekly.",,"LACS 28400, ANTH 38800, LACS 38400, BIOS 23247",,
ANTH 28929,"Cabal, Cult, and Crisis: Religion and Contemporary Conspiracy Theory. 100 Units.","We live in an age of crisis for liberal democracy, and conspiracy theories are often said to be at the heart of this crisis. While Alex Jones, Infowars, and QAnon have become household names, there is still no consensus on what makes a ""conspiracy theory"" or how scholars should approach these topics. Are ""New World Order""-style conspiracy beliefs irrational or false on their face? Can liberal-democratic regimes which pride themselves on their ability to accommodate diverse religious viewpoints successfully integrate conspiracy believers? In this course, we will approach the subject of conspiracy theory by engaging with theorists in their own words, videos, and images, while sampling a range of academic and public-facing literature on new religious movements, religion and politics, and epistemology. In so doing, we will apply critical lenses of diverse sorts to mixed media, as we collectively develop methodologies for carrying out original research on ""low-status"" subjects using un-curated archives. No prior acquaintance with conspiracy-oriented materials required.",Spring,"RLST 28929, MADD 10929",,Justin Smolin
ANTH 29002,"Sacred Arts of Tibet: A Journey Through Visual Art, Calligraphy, Musical, and Culinary Traditions. 100 Units.","Experience the rich cultural heritage of Tibet through this immersive course exploring four fundamental aspects of Tibetan civilization. Students will study traditional Tibetan thangka painting, learning the techniques and symbolism behind these intricate religious artworks. Explore the profound world of Tibetan musical traditions, from the mesmerizing multiphonic chants of monastery rituals to the lively folk songs of nomadic communities. Students gain hands-on experience with traditional instruments including drums and horns while learning their ceremonial significance. The culinary portion introduces traditional dishes like momos (dumplings), Tsampa (roasted barley flour), and butter tea, along with their cultural significance and preparation methods. In calligraphy sessions, students practice the distinctive Tibetan scripts - Uchen (block-print -Umey (cursive writing) used in Tibetan Buddhist texts, mastering the basic strokes and letter formations of this ancient writing system.",,"MUSI 22567, HREL 39002, SALC 29002, SALC 39002, EALC 29002, RLST 27304",,
ANTH 29003,"Islam Beyond the Human: Spirits, Demons, Devils, and Ghosts. 100 Units.","This seminar explores the diverse spiritual and sentient lifeforms within Islamic cosmology that exist beyond the human-from jinn, angels, and ghosts to demons and devils. We will focus on theological, scientific, philosophical, anthropological, and historical accounts of these creatures across a variety of texts, as well as their literary and filmic afterlives in contemporary cultural representations. In so doing, we consider the various religious, social, and cultural inflections that shape local cosmological imaginaries. We ask how reflecting on the nonhuman world puts the human itself in question, including such concerns as sexuality and sexual difference, the boundaries of the body, reason and madness, as well as the limits of knowledge.",Autumn,"KNOW 49003, AASR 49003, CMLT 29003, ISLM 49003, NEHC 29003, GNSE 29003, NEHC 49003, RLST 29003, ANTH 49003, GNSE 49003, CMLT 49003",Enrollment by Consent Only (for both grads and undergrads). Students should send the instructors a paragraph explaining their interest and prior preparation or familiarity with the themes in the course.,Alireza Doostdar and Hoda El Shakry
ANTH 29024,"The Election Race of 2024: Ethics, Religion, and the American Polity. 100 Units.","This course will follow the ongoing Presidential election of 2024 as it unfolds in real time during this quarter. We will read, as primary texts, newspapers from across the political spectrum and consider the claims therein. In parallel, we will explore theoretical and historical writing about democracy and its challenges. We will consider how religion and culture affect the American political process and critically examine social the competing truth claims and values that structure these processes.",Autumn,"RLST 29024, AMER 29024",,Laurie Zoloth
ANTH 29030,"Islam, Race and Decoloniality. 100 Units.","This course explores western perspectives, attitudes and representations of Muslims and Islam from medieval European thought, through liberal colonial encounters to contemporary media and political discourses. Students will examine the intersection of race and religion as it applies to the construction of Muslim identity and alterity in the Western imagination. We will explore the remarkable consistency across centuries of the threatening, menacing, barbaric and uncivilized Muslim ""Other"". The course centers around these Orientalist constructions and will explore the power structures, colonial modalities, epistemological frameworks, and ideological assumptions that perpetuate the racialization of Islam and Muslims within the United States and abroad. This course ultimately aims to uncover potentials for resistance, recovery and renewal through the politics and praxis of decoloniality. Students will gain familiarity with decolonial theory and practices, as well as the important project of 'epistemic delinking' as it is framed by contemporary scholars intent on challenging, possibly undoing and remapping the Muslim experience within global liberal political modernity.",Winter,"NEHC 39030, NEHC 29030, RDIN 39030, RDIN 29030, KNOW 39030, RLST 29030, ISLM 39030, ANTH 39030",,Maliha Chishti
ANTH 29031,Sufism and Coloniality. 100 Units.,"A close reading of 19th-20th century Sufi figures who engaged in peaceful and armed resistance against British and French colonial powers in North and West Africa. This course centers Sufi figures often overlooked in decolonial and anti-colonial literature, such as Amadou Bamba, Haj Umar Tal, Usman Dan Fodio, Emir Abdelkader al-Jaza'iri, Abdul Karim al-Khattabi, and Ahmad al-'Alawi. The mystical teachings and political activities of these leading figures will be examined within the broader context of decolonial theory and anti-colonial resistance. No Arabic required.",,"ISLM 39031, RLST 29031, ANTH 39031",,
ANTH 29068,Christianity and Consumer Culture in the United States. 100 Units.,"In the United States, everything is for sale-including religion. Religious books, objects, and films are produced and marketed to recruit converts and to entertain and edify adherents. Churches can be seen as commodities as people ""shop"" for a new congregation or sect. Some scholars have suggested that consumption itself has become a religious act, with its own rites, rituals, and promises of salvation. In this course we will explore the intersecting histories of Christianity and consumer culture in the US from the late nineteenth century to the present day. Reading classic texts in history and sociology, as well as more contemporary scholarship on American consumer culture, we will attend to the questions that consumer culture poses for American Christians and for scholars of religion. Has consumer culture contributed to the secularization of American society? Has Christianity been corrupted by consumer culture? Can Christians redeem the marketplace? How can the study of religion help us understand our culture of consumption, and how can consumerism help us understand religion?",Autumn,"RLST 29068, AMER 29068, HIST 27721",,Hannah Ozmun
ANTH 29109,"Sex, Gender, and Kinship: Colonial Perspectives. 100 Units.","This course analyzes the contested relationships between gender, sexuality, kinship, and western colonialism from the early modern period through the twentieth century. Drawing on historical case studies, feminist theory, and postcolonial studies, this course will cover a broad range of empires and colonies to explore the mutually constitutive relationship between colonization and ideologies and practices of gender, sex, and kinship. Analyzing case studies predominately from the Atlantic World (with attention to colonies elsewhere), we will explore topics such as the emergence of colonial gender ideologies, gender and colonial governance, family life and kinship strategies, the intersectionality of gender and sexuality with race and class, queerness and queer lives, the politics of sex work and reproduction, and gendered migrations across empires.",Autumn,"ANTH 39109, RDIN 39109, RDIN 29109, GNSE 23174, GNSE 39109, MAPS 39109, SOCI 30346, HIST 29109, HIST 39109",,"Lyons, Deirdre"
ANTH 29300,Asceticism: Forming the Self. 100 Units.,"In recent decades scholars of the pre-modern period have turned to the body as a site of renewed historical inquiry. Within the study of religion, this shift has reanimated discussions around asceticism as a particularly potent technē for self-fashioning. Nevertheless, scholars have struggled to theorize asceticism across religious traditions. This signature course, taught by two scholars working in disparate historical periods and religious traditions (early Christianity and medieval Indian religious literature), explores how gender theory has engaged ascetic practices for understanding the body and human potential. Students will engage asceticism as a series of techniques or forms of life that envision the sexed and gendered human body as the horizon of corporeal expression and personal imagination. Asceticism serves as a neat conceptual device, allowing us to toggle between the mind and body while tackling questions that fall within the liminal space between them, including debates around gender, sexuality, sovereignty, and biopower. Students along with the instructors will contend with the challenges and opportunities of transnational and transhistorical feminist and queer inquiry as we traverse across the boundaries of tradition, language, and culture. While drawing on rich historical and religious archives, we will anchor our discussions around the interplay of two principal authors: Giorgio Agamben and Michel Foucault.",,"CLAS 39300, GNSE 29303, HCHR 39300, FNDL 29301, BIBL 39300, ANTH 39301, HREL 39300, SIGN 26074, RLST 29300, CLCV 29300, RLVC 39300, GNSE 39303",,
ANTH 29900,Preparation of Bachelor's Essay. 100 Units.,Reading and Research course for Anthropology majors preparing to write a BA Essay.,,,Consent of instructor and Director of Undergraduate Studies,Select section from pull-down list under ANTH 29900 in the Time Schedule
ANTH 29910,BA Honors Seminar I. 100 Units.,"This seminar is designed to prepare fourth-year Anthropology majors to write a compelling BA thesis. To that end, the course is structured as a writing workshop that addresses three key issues: First, we will focus on formulating a viable research question that can be interrogated in a 35-40 page paper; second, we will examine core anthropological research methods, paying particular attention to the relationship between questions and evidence; finally, we will consider the writing process (including aspects such as planning, outlining, and drafting) and modes of argumentation. In the first quarter, participants will work toward producing a 20-page first draft.",Autumn,,Open only to fourth year anthropology students currently writing BA Essays,Staff
ANTH 29920,BA Honors Seminar II. 100 Units.,This workshop is for fourth-year Anthropology majors writing a BA thesis. It will extend the writing exercises begun during the fall BA workshop with a focus on revisions and expansions of the first draft of the thesis towards a near-final version.,,,,Staff
ARCH 10336,Researching Chicago's Historic Parks and Neighborhoods. 100 Units.,"Often considered a ""City of Neighborhoods,"" Chicago has a fascinating network of community areas that were shaped by historical events and developments. Many of the city's neighborhoods include parks that have their own significant architectural, landscape and social histories. The class will introduce students to some of Chicago's most interesting historic neighborhoods and parks; expose them to key regional digital and on-site archives; and instruct them in appropriate methodologies for conducting deep research on sites and landscapes, with a special focus on Chicago's historic park system. Students will utilize an array of resources including Sanborn maps, US Census records, historic plans, photographs, and archival newspapers to provide in-depth studies of unpreserved sites. The course will also expose students to historic preservation policies, methodologies, and guidelines to provide practical strategies for preserving lesser-known places and sites. As a Chicago Studies class, its pedagogy will also include excursions into the city, engagement with local guest speakers, and research in relevant Chicago-area archives/special collections.",Winter,"ENST 20336, ARTH 20336, HIST 27312, CEGU 20336, CHST 20336",,Julia Bachrach
ARCH 10701,Sound and the Built Environment. 100 Units.,"Sound and the Built Environment examines the role of sound at all scales of the built world from the room to the city. This course highlights a sound studies approach in which students will learn how to listen deeply, an act of resistance in a culture that suffers from primacy of the visual. Students will also learn about concepts such as the soundscape, how to read a room intuitively through basic concepts of acoustics (reverberation, clarity, balance, etc), the history of buildings designed purposefully for sound, and the role sound plays in urban life throughout history. Deliverables for this course include a sound studies portion in which students will examine soundscapes that impact their lives in Chicago, and a design portion in which students re-evaluate spaces around Chicago through an acoustics lens.",Autumn,"CHST 10701, ARTH 10701","While this class does not require prior experience, all ARCH studio courses require consent. Starting July 31, please visit arthistory.uchicago.edu/archconsent to request instructor consent for this class or other ARCH studios. (Please do not send consent requests by email.)",K. Wagner
ARCH 11800,Physics and Contemporary Architecture. 100 Units.,"Architectural structures form the built environment around us and in many ways create the backbone of our civilization. They push the limits of form and function on the largest human scales, often leading to iconic masterpieces that symbolize the aesthetics as well as the technical achievements of a period. Many architectural advances have been made possible by breakthroughs in the science of materials, which then led to innovation in construction and fabrication techniques. This course will introduce the physics principles that have enabled some of the most innovative architecture of our time. This course will take key ideas and tools from physics and demonstrate their power and relevance in a broader context familiar from everyday experience. The course will challenge students to recognize physics concepts in the built structures that make up the urban environment we live in. Chicago is a most appropriate place for this study; it was the birthplace of the first skyscraper, and ever since it has played an internationally celebrated role in pushing the limits of the architectural state of the art. A long succession of renowned Chicago architects and structural engineers has turned this city into a premier laboratory for architectural innovation. Against this backdrop, the course will show how science, and physics in particular, delivers the conceptual foundations that drive current directions in architecture and open up new opportunities.",Spring,"CHST 11800, PHSC 11800",Some exposure to high-school physics is recommended,Heinrich M. Jaeger; Sidney Nagel
ARCH 14108,The Built Environment in the Ancient Greek World. 100 Units.,"How are we to understand the ancient Greek world and how it was shaped and inhabited? How can the study of the past inform our perception of the present world around us? This course introduces students to the built environment of the ancient Greek world through the study of the architecture, monuments, and urban forms developed in the Archaic, Classical, and Hellenistic periods. Rather than solely focusing on examples from the ancient Aegean, this course will take a geographically broad perspective that spans from Sicily to Afghanistan to highlight the diversity of styles and cultural influences incorporated into Greek architecture and urban development. This topic will be approached thematically, ranging from the architecture of sanctuaries to monuments in public spaces to modern receptions of ancient Greek architecture.",Winter,"CEGU 24108, ARTH 14108, CLCV 24109",,L. Ladge
ARCH 14146,London vs. Nature: Writing Utopia and Dystopia in the Urban Landscape [Creative Writing Arts Core: R. 100 Units.,"In this Arts Core course, students will be introduced to a range of the utopian and dystopian fantasies that writers have produced in response to the metropolis of London as the imperial epicenter of manufactured ecologies, from the late nineteenth century through the present day. They will study early responses to modernism and modernization in the city by figures like William Blake, Frederick Engels, Henry James, Ezra Pound, and Virginia Woolf before moving on to contemporary writers such as R. Murray Schafer, who apprehends the city through ""earwitnessing"" of noise pollution, and Bhanu Kapil, who recalls the race riots of the 1970s against the backdrop of the Nestle factory on the site of King Henry VIII's hunting grounds. Students will be exposed first-hand to how London is read by writers confronting planetary and political crisis through meetings with living publishers, authors, and art collectives like the Museum of Walking, grappling with the continual metamorphosis of the landscape-and through a sequence of on-site visits and psychogeographical experiments, they will have the opportunity to respond to the city in their own writing across a range of genres. (Arts Core)",Autumn,CRWR 12146,Acceptance to the London Study Abroad Program.,Jennifer Scappettone
ARCH 14201,In and Out: Supply and Waste in 21st Century Dwelling. 100 Units.,"In the next 25 years, give or take, the world's population is expected to reach 10 billion souls. 68% of these people, roughly 6.8 billion people, will be living in cities. The challenges of energy, transportation, food production and distribution, shelter are the IN and are, typically, the focus of architecture and its related disciplines. What about the OUT? Fuel emissions, food waste, human waste (solid and liquid), human remains, medical waste, thermal by-products of heating, cooling and manufacture, not to mention building waste to produce housing for 10 billion are the focus of this studio. As we urbanize, as cities expand, as the space for containing waste is ever more remote and the waste itself ever more copious, how do we manage, control or even understand the problem? This course will look at the challenges facing our cities as both recursive and emergent. The scale of these issues is of unprecedented magnitude, though not new in principle. As a practical matter, any solution must simultaneously reference contemporary approaches to waste management and urban sustenance and ancient practices of integration, symbiosis and elimination",Winter,ARTH 14201,"While this class does not require prior experience, all ARCH studio courses require consent. Starting November 6, please visit arthistory.uchicago.edu/archconsent to request instructor consent for this class or other ARCH studios. (Please do not send consent requests by email.",K. Mills
ARCH 15706,Skills & Processes for Architecture and Urban Design. 100 Units.,"This studio course seeks to acquaint students with a range of skills and methods in design, including manual, digital and hybrid methods. Students will test out several design processes through a series of problem sets and micro-projects, and develop their own personal tools and ways as they go. An emphasis will be put on free play and experimentation, followed by rounds of revision and refinement. We will also consider how historical research, precedent, context and constraint can help meaningfully inform design process, without overly paralyzing it. This is an excellent course to take if you are interested in other studio design courses (such as courses listed ARCH 2419X and ARCH 24267), but want to build up your skills before undertaking a major, quarter-long project. While this class does not require prior experience, all ARCH studio courses require consent. Starting November 18, please visit arthistory.uchicago.edu/archconsent to request instructor consent for this class or other ARCH studios. (Please do not send consent requests by email. For this class, priority will be given to 1st-3rd year undergraduates who have *not* already taken ARCH studio courses but intend to do so. Students must attend first class to confirm enrollment",Winter,ARTH 15706,"While this class does not require prior experience, all ARCH studio courses require consent. Starting November 18, please visit arthistory.uchicago.edu/archconsent to request instructor consent for this class or other ARCH studios. (Please do not send consent requests by email. For this class, priority will be given to 1st-3rd year undergraduates who have *not* already taken ARCH studio courses but intend to do so. Students must attend first class to confirm enrollment","S. Park, L. Joyner"
ARCH 16911,Modeling Contemporary Japanese Architecture. 100 Units.,"This undergraduate seminar focuses on contemporary Japanese architecture. It builds on an association between three main pedagogies for the study of architecture: observation, critical reading, and modeling.Our discussions will focus primarily on buildings and works by individual architects and artists that are currently active in Japan and whose work contributes to a broader understanding of architecture as a creative field. Special emphasis will be given to the work of a younger generation of Japanese architects who are currently exerting a significant impact on the development of contemporary Japanese culture.The seminar recognizes the broad use and potential of architectural scale models and intends to use them as a central tool for investigation. Students will analyze buildings through various forms of model making.The construction of physical, three-dimensional scale models will provide a useful platform to further develop insights gained through reading, class discussions, and in-depth study of architectural representations.",Autumn,ARTH 16911,,Erez Golani Solomon
ARCH 17721,"Groundwork: Infrastructure, Aesthetics, and the Built Environment. 100 Units.","Infrastructures are conduits; they carry physical things like water, people, commodities, energy, and waste. But despite appearances, infrastructures are anything but neutral. Pipes, wires, and roads also carry beliefs about how the world should work and for whom it should function, designs that fix into place ideas about commercial circulation, social care, political representation, spatial organization, and economic development. This course will provide a thematic overview of the constructed networks that support the modern built environment, while simultaneously considering the social, spatial, and aesthetic implications of these encompassing systems. Through a historical survey of critical sites-the road, the bridge, the sewer, the mine, and the grid, among others-students will gain a sense of where these systems came from and how they have shaped expectations about our changing relationship with the natural environment.",Winter,ARTH 17721,,Alexander Bierig
ARCH 17761,Introduction to Modern Architecture: Modernity and Its Other(s) 100 Units.,"This course invites students to reflect upon the idea of modernity in architecture as it developed between 1450 and the end of the 20th century. The purpose of this course is two-fold: 1) to introduce students to selected architectural episodes across time and space; and 2) to demonstrate that modernity as a concept is deeply charged with power dynamics. Indeed, the idea of modernity systematically includes a strong delineation of its margins: the people, cultures, and places that have been portrayed as lacking the modern mind, techniques, or esthetics. In this respect, modernity and its antonyms are often inseparable, like two sides of the same coin. Throughout the quarter, we will discuss exclusionary modern visions, debunk their absolutism, and amplify the voices of those who have proposed alternative models for modernity in architecture.",Autumn,"ARTH 17761, CEGU 27761",,J. Huet
ARCH 17762,Architecture and Colonialism in Algeria and Morocco. 100 Units.,"This seminar invites students to examine the intersections of colonialism with architecture in Algeria and Morocco. Throughout the quarter, we will discuss designs of architects working in these two contexts (Le Corbusier, Fernand Pouillon, Elie Azagury, etc.) and concepts defining colonialism as a design project (urban repression, apartheid, Orientalism, etc.). We will also pay particular attention to modes of opposition pursued by residents and their historical impact toward the region's decolonization. Moments of heightened historical consequence, such as independentist guerrillas' strategic use of selected architectural spaces, will be thoroughly discussed. The class will progress through a chronological scope, from the inception of French colonialism in Algeria in the 19th century to the enmeshment of modernism with colonialism in the 20th century. We will conclude with the emergence of postcolonial modernities.",Spring,"CEGU 17762, FREN 27762, RDIN 17762, ARTH 17762",,J. Huet
ARCH 17781,Women in 20th-Century Architecture. 100 Units.,"From the Renaissance to the present day, architecture has been a blatantly male-centric field. This course invites students to consider women who overcame systemic barriers to become figures of agency in 20th-century architecture. We will examine the lives and works of women who have managed to attend architecture schools, despite historical gender-based exclusion or restriction on enrollment, as well as those who found impactful ways to play architectural roles without academic training. We will pay particular attention to how these protagonists add necessary complexity to the modernist canon. The course will start with a first module on positionality (women as architects, women as clients, and women as residents) followed by a second module with a biographical scope (Minnette De Silva, Eileen Gray, bell hooks, and Sibyl Moholy-Nagy).",Spring,"GNSE 20145, ARTH 17781",,J. Huet
ARCH 17915,Women's Work. 100 Units.,"As a haptic art, an art experienced through touch as well as the other senses, architecture operates at multiple scales: that of hand, building, city. The scale of the hand gives the most direct access to architecture and its furnishings: think of a handrail, a chair, a textile, a brick pattern, a wood detail. This is the realm of craft in architecture and was, for decades, the realm inhabited and ruled by women practitioners. Women designed furniture, made drawings, wove textiles, produced pottery and glasswork as a means of expression within the male world of architectural practice. As an introduction to the study of architecture, craft entails applying principles of proportion, scale, tactility, precision, materiality, and assembly; in this way, craft is a microcosm of architecture. Through a series of projects and readings centered around the craft arts and the women who advanced them, this studio course will introduce students to small-scale making and translate that process to larger scales. Students will undertake two investigations: the first a series of small craft objects and a set of orthographic drawings describing the making process, the second a spatial analysis and workspace for a craft practitioner.",Autumn,"GNSE 17915, ARTH 17915","While this class does not require prior experience, all ARCH studio courses require consent. Starting July 31, please visit arthistory.uchicago.edu/archconsent to request instructor consent for this class or other ARCH studios. (Please do not send consent requests by email.)",K. Mills
ARCH 18003,Modern Architecture in East Asia. 100 Units.,"This course explores the historical development of East Asian architecture during the 19th and 20th centuries. Students will examine the work of pioneering figures such as Frank Lloyd Wright, Tadao Ando, Kenzo Tange, SANAA, Wang Shu, and Rem Koolhaas, among other landmark building projects and significant historical events in China, Japan, and beyond. The course encourages students to use historical and cultural contexts as a lens to broaden their understanding of the relationship between architecture and society. How has architecture influenced the way people live over the last two centuries? How can architecture act as a catalyst for social transformation or a medium for social critique? How are East Asian traditions integrated into the global currents of modernization and globalization while preserving regional characteristics? By engaging with these questions, the course guides students through an understanding of why architecture and urbanism are critical in rapidly transforming societies and how ideological, technological, and aesthetic visions are manifested in architectural productions and discourses.",Autumn,ARTH 18003,,Z. Yang
ARCH 18611,To the Taj Mahal and Beyond: Arts of the Islamic South Asia. 100 Units.,"This class is an ""Art in Context"" core class and introduces students to Islamic art and culture in South Asia, taking the Taj Mahal (1653) as a jumping off point. We begin with the Taj Mahal, taking time to analyse the architecture and history of the monument. Then we go back in time, where we examine the cultural and artistic context of the dynasty that made the Taj, the Mughals (r. 1526-1857). This will involve looking at contexts within and outside of South Asia, and within and outside of Islamic realms. Finally, we look at the impact of the Taj as a major world monument, studying later attempts to make similar tomb structures within large garden complexes. We will also examine the endearing legacy of the Taj Mahal in colonial and postcolonial periods, looking at prints, photographs, and films. The class includes a trip to the Art Institute of Chicago (details to be confirmed) and the Special Collections at Regenstein. There will also be the opportunity to construct the Taj Mahal Lego Set.",Spring,ARTH 18611,,M. Manohar
ARCH 20000,Understanding the Built Environment. 100 Units.,"This course aims to equip students with the basic skills and knowledge required to analyze architecture and the built environment. It offers an introduction to the methods and procedures of the architectural historian. These include practical tasks such as understanding architectural terminology, reading and interpreting architectural drawings, engaging with buildings ""on site,"" and studying buildings in urban context, relative to surrounding buildings, street networks and public spaces. At a broader level, the course will entail critical discussion about the relationship between architecture and society, the building as a historically specific object that also changes over time, the cultural representation of architecture, and modes of perceiving/experiencing the built environment.",Autumn,"ARTH 30700, ARTH 20700, CHST 20700",,Wei-Cheng Lin
ARCH 20150,Sustainable Urban Development. 100 Units.,"The course covers concepts and methods of sustainable urbanism, livable cities, resiliency, and smart growth principles from a social, environmental and economic perspective. In this course we examine how the development in and of cities - in the US and around the world - can be sustainable, especially given predictions of a future characterized by increasing environmental and social volatility. We begin by critiquing definitions of sustainability. The fundamental orientation of the course will be understanding cities as complex socio-natural systems, and so we will look at approaches to sustainability grouped around several of the most important component systems: climate, energy, transportation, and water. With the understanding that sustainability has no meaning if it excludes human life, perspectives from both the social sciences and humanities are woven throughout: stewardship and environmental ethics are as important as technological solutions and policy measures.",Spring,"GLST 20150, CEGU 20150, PBPL 20150, ENST 20150",,"Winter: Staff, Spring: Evan Carver"
ARCH 20160,Cities on Screen. 100 Units.,"How do the movies shape our collective imagination about cities? Why do we so often turn to them for visions of disaster and dystopia, on the one hand, or a futuristic utopia on the other? How has film responded to cities in the past, and how can it help investigate our present urban condition? How can film be understood as a tool for exploring what a city is? In this seminar, we will watch and discuss feature films in which the built environment or urban issues play important roles. Students will improve their film literacy -- learning not just what a film does but how it does it -- and understand applications for film in the analysis of social, spatial, temporal, and immersive phenomena, as well as how it can help inspire and communicate design more effectively.",Spring,"CEGU 20160, ENST 20160, GLST 20160",,Evan Carver
ARCH 20170,"Pandemics, Urban Space, and Public Life. 100 Units.","Much of the cultural vibrance, economic strength, and social innovation that characterizes cities can be credited to their density. Put simply, cities bring people together, and togetherness allows for complex and fruitful exchange. But togetherness also brings risks, notably from infectious disease. A pandemic feeds on propinquity. ""Social distance,"" while a short-term public health imperative, is antithetical to the very idea of the urban. In this seminar, we will explore these competing tensions in light of current and past disease outbreaks in urban settings. Drawing on a range of texts from history, design theory, sociology, and anthropology, as well as cultural artifacts like film, graphic memoir, and photography, we will engage questions like: How are the risks of contagion balanced with the benefits of density? How are such risks distributed throughout society? What creative responses have architects, urban designers, and planners brought to this challenge? Most importantly, how can we respond constructively to the challenge of pandemic to create cities where the benefits of togetherness are maximized, perhaps even improved on compared with the pre-outbreak condition? Students will have the opportunity to propose design or policy interventions to help their own communities respond to the coronavirus/COVID-19 crisis, return to a vibrant post-pandemic life, and prepare for the pandemics of the future.",Autumn,"CEGU 20170, GEOG 20170, PBPL 20170, HLTH 20170, ENST 20170",,Evan Carver
ARCH 20180,Writing the City. 100 Units.,"How do great writers convey sense-of-place in their writing? What are the best ways to communicate scientific and social complexity in an engaging, accessible way? How can we combine academic rigor with journalistic verve and literary creativity to drive the public conversation about urgent environmental and urban issues? These are just some of the questions explored in WRITING THE CITY, an intensive course dedicated to honing our skills of verbal communication about issues related to the built and natural environments. Students will research, outline, draft, revise, and ultimately produce a well-crafted piece of journalistic writing for publication in the program's new annual magazine, Expositions. Throughout the quarter we will engage intensely with a range of authors of place-based writing exploring various literary and journalistic techniques, narrative devices, rhetorical ​approaches, and stylistic strategies.",Autumn,"ENST 20180, CEGU 20180","At least one ENST, GEOG, or ARCH course; or one PBPL, ARTH, ANTH, or SOCI course with an urban focus; or instructor permission. Please contact ehc@uchicago.edu with questions.",Evan Carver
ARCH 20200,"Urban Dramas: Theater, Performance and the City. 100 Units.","How do urban landscapes, economies, collectives and communities influence the ecology of artistic practice? How does art - and theatre in particular - represent and reflect the eccentricities, anxieties and exultations of urban experience? In this course, we will examine the mutually constitutive relationship between theatre and the city through different perspectives, methodologies and approaches. We will consider how the city is represented in a range of dramatic works including Aristophanes' The Birds, Lorraine Hansberry's A Raisin in the Sun, Ramu Ramanathan's Cotton 56, Polyester 84, and Anne Deavere Smith's Twilight: Los Angeles 1992. We will read these plays in conjunction with critical writings that illustrate the ways in which changing urban landscapes reshape the contours of theatre practice along economic, demographic and infrastructural lines. These include the scholarship of Marvin Carlson, Loren Kruger, Michael McKinnie, and Stanton B. Garner, among others. The course requires students to engage with the course themes both intellectually and experientially, through a dedicated set of readings and assignments that probe the entanglements between theatre and city life within the specific Chicago context. Students will have the opportunity to familiarize themselves with the theatre culture of Chicago, and conduct ethnographic research on existing theatre spaces in the city.",Spring,TAPS 20200,,S. Sastry
